ts,bid.curr.mth,target.7sec,baseline,R01_bid.curr.mth,R01_target.7sec
2016-03-01 11:29,82800,83100,81500,1300,1600
2016-03-01 11:29,82800,83100,81500,1300,1600
2016-04-01 11:29,83700,83700,83700,0,0
2016-04-01 11:29,83700,83700,83700,0,0
2016-04-01 11:29,83700,83700,83700,0,0
2016-04-01 11:29,83700,83700,83700,0,0
2016-04-01 11:29,83700,83700,83700,0,0
2016-04-01 11:29,83700,83700,83700,0,0
2016-04-01 11:29,83700,83700,83700,0,0
2016-04-01 11:29,83700,83800,83700,0,100
2016-04-01 11:29,83700,83800,83700,0,100
2016-04-01 11:29,83700,83800,83700,0,100
2016-04-01 11:29,83700,83900,83700,0,200
2016-04-01 11:29,83700,83900,83700,0,200
2016-04-01 11:29,83700,83900,83700,0,200
2016-04-01 11:29,83700,83900,83700,0,200
2016-04-01 11:29,83800,84000,83700,100,300
2016-04-01 11:29,83800,84000,83700,100,300
2016-04-01 11:29,83800,84000,83700,100,300
2016-04-01 11:29,83900,84000,83700,200,300
2016-04-01 11:29,83900,84000,83700,200,300
2016-04-01 11:29,83900,84000,83700,200,300
2016-04-01 11:29,83900,84000,83700,200,300
2016-04-01 11:29,84000,84000,83700,300,300
2016-04-01 11:29,84000,84000,83700,300,300
2016-04-01 11:29,84000,84000,83700,300,300
2016-04-01 11:29,84000,84000,83700,300,300
2016-04-01 11:29,84000,84000,83700,300,300
2016-04-01 11:29,84000,84000,83700,300,300
2016-04-01 11:29,84000,84000,83700,300,300
2016-04-01 11:29,84000,84000,83700,300,300
2016-04-01 11:29,84000,84000,83700,300,300
2016-04-01 11:29,84000,84000,83700,300,300
2016-04-01 11:29,84000,84000,83700,300,300
2016-04-01 11:29,84000,84100,83700,300,400
2016-04-01 11:29,84000,84100,83700,300,400
2016-04-01 11:29,84000,84200,83700,300,500
2016-04-01 11:29,84000,84200,83700,300,500
2016-04-01 11:29,84000,84300,83700,300,600
2016-04-01 11:29,84000,84300,83700,300,600
2016-04-01 11:29,84000,84300,83700,300,600
2016-04-01 11:29,84100,84300,83700,400,600
2016-04-01 11:29,84100,84400,83700,400,700
2016-04-01 11:29,84200,84400,83700,500,700
2016-04-01 11:29,84200,84400,83700,500,700
2016-04-01 11:29,84300,84500,83700,600,800
2016-04-01 11:29,84300,84500,83700,600,800
2016-04-01 11:29,84300,84500,83700,600,800
2016-04-01 11:29,84300,84600,83700,600,900
2016-04-01 11:29,84400,84600,83700,700,900
2016-04-01 11:29,84400,84700,83700,700,1000
2016-04-01 11:29,84400,84800,83700,700,1100
2016-04-01 11:29,84500,84800,83700,800,1100
2016-04-01 11:29,84500,84900,83700,800,1200
2016-04-01 11:29,84500,85000,83700,800,1300
2016-04-01 11:29,84600,85100,83700,900,1400
