ts,R01_bid.curr.mth,R01_target.7sec
2015-10-01 11:29:00,83800,84000
2015-10-01 11:29:00,83800,84000
2015-10-01 11:29:00,83900,84000
2015-10-01 11:29:00,83900,84100
2015-10-01 11:29:00,83900,84100
2015-10-01 11:29:00,84000,84100
2015-10-01 11:29:00,84000,84100
2015-10-01 11:29:00,84000,84100
2015-10-01 11:29:00,84000,84100
2015-10-01 11:29:00,84000,84100
2015-10-01 11:29:00,84100,84100
2015-10-01 11:29:00,84100,84100
2015-10-01 11:29:00,84100,84100
2015-10-01 11:29:00,84100,84100
2015-10-01 11:29:00,84100,84100
2015-10-01 11:29:00,84100,84100
2015-10-01 11:29:00,84100,84200
2015-10-01 11:29:00,84100,84200
2015-10-01 11:29:00,84100,84200
2015-10-01 11:29:00,84100,84300
2015-10-01 11:29:00,84100,84300
2015-10-01 11:29:00,84100,84300
2015-10-01 11:29:00,84100,84400
2015-10-01 11:29:00,84200,84400
2015-10-01 11:29:00,84200,84400
2015-10-01 11:29:00,84200,84400
2015-10-01 11:29:00,84300,84500
2015-10-01 11:29:00,84300,84500
2015-10-01 11:29:00,84300,84500
2015-10-01 11:29:00,84400,84600
2015-10-01 11:29:00,84400,84600
2015-10-01 11:29:00,84400,84600
2015-10-01 11:29:00,84400,84700
2015-10-01 11:29:00,84500,84700
2015-10-01 11:29:00,84500,84800
2015-10-01 11:29:00,84500,84800
2015-10-01 11:29:00,84600,84900
2015-10-01 11:29:00,84600,84900
2015-10-01 11:29:00,84600,85000
2015-10-01 11:29:00,84700,85000
2015-10-01 11:29:00,84700,85100
2015-10-01 11:29:00,84800,85200
2015-10-01 11:29:00,84800,85200
2015-10-01 11:29:00,84900,85300
2015-10-01 11:29:00,84900,85300
2015-10-01 11:29:00,85000,85300
2015-10-01 11:29:00,85000,85300
2015-11-01 11:29:00,83500,83500
2015-11-01 11:29:00,83500,83500
2015-11-01 11:29:00,83500,83500
2015-11-01 11:29:00,83500,83500
2015-11-01 11:29:00,83500,83600
2015-11-01 11:29:00,83500,83600
2015-11-01 11:29:00,83500,83600
2015-11-01 11:29:00,83500,83600
2015-11-01 11:29:00,83500,83600
2015-11-01 11:29:00,83500,83600
2015-11-01 11:29:00,83500,83600
2015-11-01 11:29:00,83600,83700
2015-11-01 11:29:00,83600,83700
2015-11-01 11:29:00,83600,83800
2015-11-01 11:29:00,83600,83800
2015-11-01 11:29:00,83600,83800
2015-11-01 11:29:00,83600,83800
2015-11-01 11:29:00,83600,83800
2015-11-01 11:29:00,83700,83800
2015-11-01 11:29:00,83700,83800
2015-11-01 11:29:00,83800,83800
2015-11-01 11:29:00,83800,83800
2015-11-01 11:29:00,83800,83800
2015-11-01 11:29:00,83800,83800
2015-11-01 11:29:00,83800,83800
2015-11-01 11:29:00,83800,83800
2015-11-01 11:29:00,83800,83800
2015-11-01 11:29:00,83800,83800
2015-11-01 11:29:00,83800,83800
2015-11-01 11:29:00,83800,83900
2015-11-01 11:29:00,83800,83900
2015-11-01 11:29:00,83800,83900
2015-11-01 11:29:00,83800,83900
2015-11-01 11:29:00,83800,84000
2015-11-01 11:29:00,83800,84000
2015-11-01 11:29:00,83800,84000
2015-11-01 11:29:00,83900,84100
2015-11-01 11:29:00,83900,84100
2015-11-01 11:29:00,83900,84100
2015-11-01 11:29:00,83900,84100
2015-11-01 11:29:00,84000,84100
2015-11-01 11:29:00,84000,84100
2015-11-01 11:29:00,84000,84100
2015-11-01 11:29:00,84100,84100
2015-11-01 11:29:00,84100,84200
2015-11-01 11:29:00,84100,84200
2015-11-01 11:29:00,84100,84300
2015-11-01 11:29:00,84100,84300
2015-11-01 11:29:00,84100,84300
2015-11-01 11:29:00,84100,84400
2015-11-01 11:29:00,84100,84500
2015-11-01 11:29:00,84200,84500
2015-11-01 11:29:00,84200,84600
2015-11-01 11:29:00,84300,84600
2015-12-01 11:29:00,83500,83500
2015-12-01 11:29:00,83500,83500
2015-12-01 11:29:00,83500,83500
2015-12-01 11:29:00,83500,83500
2015-12-01 11:29:00,83500,83500
2015-12-01 11:29:00,83500,83500
2015-12-01 11:29:00,83500,83500
2015-12-01 11:29:00,83500,83500
2015-12-01 11:29:00,83500,83500
2015-12-01 11:29:00,83500,83600
2015-12-01 11:29:00,83500,83600
2015-12-01 11:29:00,83500,83600
2015-12-01 11:29:00,83500,83600
2015-12-01 11:29:00,83500,83600
2015-12-01 11:29:00,83500,83600
2015-12-01 11:29:00,83500,83600
2015-12-01 11:29:00,83600,83600
2015-12-01 11:29:00,83600,83700
2015-12-01 11:29:00,83600,83700
2015-12-01 11:29:00,83600,83700
2015-12-01 11:29:00,83600,83800
2015-12-01 11:29:00,83600,83800
2015-12-01 11:29:00,83600,83800
2015-12-01 11:29:00,83600,83800
2015-12-01 11:29:00,83700,83800
2015-12-01 11:29:00,83700,83800
2015-12-01 11:29:00,83700,83800
2015-12-01 11:29:00,83800,83800
2015-12-01 11:29:00,83800,83800
2015-12-01 11:29:00,83800,83800
2015-12-01 11:29:00,83800,83800
2015-12-01 11:29:00,83800,83800
2015-12-01 11:29:00,83800,83800
2015-12-01 11:29:00,83800,83800
2015-12-01 11:29:00,83800,83800
2015-12-01 11:29:00,83800,83800
2015-12-01 11:29:00,83800,83900
2015-12-01 11:29:00,83800,83900
2015-12-01 11:29:00,83800,83900
2015-12-01 11:29:00,83800,84000
2015-12-01 11:29:00,83800,84000
2015-12-01 11:29:00,83800,84000
2015-12-01 11:29:00,83800,84100
2015-12-01 11:29:00,83900,84100
2015-12-01 11:29:00,83900,84100
2015-12-01 11:29:00,83900,84100
2015-12-01 11:29:00,84000,84100
2015-12-01 11:29:00,84000,84200
2015-12-01 11:29:00,84000,84200
2015-12-01 11:29:00,84100,84200
2015-12-01 11:29:00,84100,84300
2015-12-01 11:29:00,84100,84400
2015-12-01 11:29:00,84100,84400
2015-12-01 11:29:00,84100,84500
2016-01-01 11:29:00,81500,81500
2016-01-01 11:29:00,81500,81500
2016-01-01 11:29:00,81500,81500
2016-01-01 11:29:00,81500,81500
2016-01-01 11:29:00,81500,81500
2016-01-01 11:29:00,81500,81500
2016-01-01 11:29:00,81500,81500
2016-01-01 11:29:00,81500,81500
2016-01-01 11:29:00,81500,81500
2016-01-01 11:29:00,81500,81500
2016-01-01 11:29:00,81500,81500
2016-01-01 11:29:00,81500,81500
2016-01-01 11:29:00,81500,81500
2016-01-01 11:29:00,81500,81600
2016-01-01 11:29:00,81500,81600
2016-01-01 11:29:00,81500,81600
2016-01-01 11:29:00,81500,81600
2016-01-01 11:29:00,81500,81600
2016-01-01 11:29:00,81500,81700
2016-01-01 11:29:00,81500,81700
2016-01-01 11:29:00,81600,81700
2016-01-01 11:29:00,81600,81800
2016-01-01 11:29:00,81600,81800
2016-01-01 11:29:00,81600,81800
2016-01-01 11:29:00,81600,81800
2016-01-01 11:29:00,81700,81800
2016-01-01 11:29:00,81700,81800
2016-01-01 11:29:00,81700,81800
2016-01-01 11:29:00,81800,81800
2016-01-01 11:29:00,81800,81800
2016-01-01 11:29:00,81800,81800
2016-01-01 11:29:00,81800,81800
2016-01-01 11:29:00,81800,81800
2016-01-01 11:29:00,81800,81800
2016-01-01 11:29:00,81800,81800
2016-01-01 11:29:00,81800,81800
2016-01-01 11:29:00,81800,81800
2016-01-01 11:29:00,81800,81900
2016-01-01 11:29:00,81800,81900
2016-01-01 11:29:00,81800,81900
2016-01-01 11:29:00,81800,82000
2016-01-01 11:29:00,81800,82000
2016-01-01 11:29:00,81800,82000
2016-01-01 11:29:00,81800,82100
2016-01-01 11:29:00,81900,82100
2016-01-01 11:29:00,81900,82100
2016-01-01 11:29:00,81900,82100
2016-01-01 11:29:00,82000,82200
2016-01-01 11:29:00,82000,82200
2016-01-01 11:29:00,82000,82200
2016-01-01 11:29:00,82100,82200
2016-01-01 11:29:00,82100,82200
2016-01-01 11:29:00,82100,82200
2016-01-01 11:29:00,82100,82200
2016-02-01 11:29:00,81500,81600
2016-02-01 11:29:00,81500,81600
2016-02-01 11:29:00,81500,81600
2016-02-01 11:29:00,81500,81700
2016-02-01 11:29:00,81500,81700
2016-02-01 11:29:00,81500,81800
2016-02-01 11:29:00,81500,81800
2016-02-01 11:29:00,81600,81800
